183 5
1.300e+00 1.850e+00 3.000e-02
1.300e+00 1.800e+00 3.000e-02
1.300e+00 1.750e+00 3.000e-02
1.300e+00 1.700e+00 3.000e-02
1.300e+00 1.650e+00 3.000e-02
1.300e+00 1.600e+00 3.000e-02
1.300e+00 1.550e+00 3.000e-02
1.300e+00 1.500e+00 3.000e-02
1.300e+00 1.450e+00 3.000e-02
1.300e+00 1.400e+00 3.000e-02
1.300e+00 1.350e+00 3.000e-02
1.300e+00 1.300e+00 3.000e-02
1.300e+00 1.250e+00 3.000e-02
1.300e+00 1.200e+00 3.000e-02
1.300e+00 1.150e+00 3.000e-02
1.300e+00 1.100e+00 3.000e-02
1.300e+00 1.050e+00 3.000e-02
1.300e+00 1.000e+00 3.000e-02
-1.260e+00 9.700e-01 3.000e-02
-1.220e+00 9.400e-01 3.000e-02
-1.180e+00 9.100e-01 3.000e-02
-1.140e+00 8.800e-01 3.000e-02
-1.100e+00 8.500e-01 3.000e-02
-1.060e+00 8.200e-01 3.000e-02
-1.020e+00 7.900e-01 3.000e-02
-9.800e-01 7.600e-01 3.000e-02
-9.400e-01 7.300e-01 3.000e-02
-9.000e-01 7.000e-01 3.000e-02
-8.600e-01 6.700e-01 3.000e-02
-8.200e-01 6.400e-01 3.000e-02
-7.800e-01 6.100e-01 3.000e-02
-7.400e-01 5.800e-01 3.000e-02
-7.000e-01 5.500e-01 3.000e-02
-6.600e-01 5.200e-01 3.000e-02
-6.200e-01 4.900e-01 3.000e-02
-5.800e-01 4.600e-01 3.000e-02
-5.400e-01 4.300e-01 3.000e-02
-5.000e-01 4.000e-01 3.000e-02
-4.600e-01 3.700e-01 3.000e-02
-4.200e-01 3.400e-01 3.000e-02
-3.800e-01 3.100e-01 3.000e-02
-3.400e-01 2.800e-01 3.000e-02
-3.000e-01 2.500e-01 3.000e-02
-2.600e-01 2.200e-01 3.000e-02
-2.200e-01 1.900e-01 3.000e-02
-1.800e-01 1.600e-01 3.000e-02
-1.400e-01 1.300e-01 3.000e-02
1.260e+00 9.700e-01 3.000e-02
1.220e+00 9.400e-01 3.000e-02
1.180e+00 9.100e-01 3.000e-02
1.140e+00 8.800e-01 3.000e-02
1.100e+00 8.500e-01 3.000e-02
1.060e+00 8.200e-01 3.000e-02
1.020e+00 7.900e-01 3.000e-02
9.800e-01 7.600e-01 3.000e-02
9.400e-01 7.300e-01 3.000e-02
9.000e-01 7.000e-01 3.000e-02
8.600e-01 6.700e-01 3.000e-02
8.200e-01 6.400e-01 3.000e-02
7.800e-01 6.100e-01 3.000e-02
7.400e-01 5.800e-01 3.000e-02
7.000e-01 5.500e-01 3.000e-02
6.600e-01 5.200e-01 3.000e-02
6.200e-01 4.900e-01 3.000e-02
5.800e-01 4.600e-01 3.000e-02
5.400e-01 4.300e-01 3.000e-02
5.000e-01 4.000e-01 3.000e-02
4.600e-01 3.700e-01 3.000e-02
4.200e-01 3.400e-01 3.000e-02
3.800e-01 3.100e-01 3.000e-02
3.400e-01 2.800e-01 3.000e-02
3.000e-01 2.500e-01 3.000e-02
2.600e-01 2.200e-01 3.000e-02
2.200e-01 1.900e-01 3.000e-02
1.800e-01 1.600e-01 3.000e-02
1.400e-01 1.300e-01 3.000e-02
-8.000e-01 1.500e+00 5.000e-02
8.000e-01 1.500e+00 5.000e-02
1.000e-02 1.500e+00 5.000e-02
-1.000e-01 1.000e-01 3.000e-02
-5.000e-02 1.000e-01 3.000e-02
0.000e+00 1.000e-01 3.000e-02
5.000e-02 1.000e-01 3.000e-02
1.000e-01 1.000e-01 3.000e-02
